Epics,Name,Checkbox
Data Collection (https://www.notion.so/Data-Collection-3395ae01c0b180fc8394f99902cb5bb0?pvs=21),Load CSV into SQL Server,Yes
Data Collection (https://www.notion.so/Data-Collection-3395ae01c0b180fc8394f99902cb5bb0?pvs=21),Verify table structure & row count,Yes
Data Cleaning (https://www.notion.so/Data-Cleaning-3395ae01c0b1805f9b4ae086b5ff1b6d?pvs=21),Create staging table,Yes
Data Cleaning (https://www.notion.so/Data-Cleaning-3395ae01c0b1805f9b4ae086b5ff1b6d?pvs=21),Standardize text columns,Yes
Data Cleaning (https://www.notion.so/Data-Cleaning-3395ae01c0b1805f9b4ae086b5ff1b6d?pvs=21),Handle NULL and blank values,Yes
Data Cleaning (https://www.notion.so/Data-Cleaning-3395ae01c0b1805f9b4ae086b5ff1b6d?pvs=21),Remove Duplicate Values,Yes
Data Exploration (https://www.notion.so/Data-Exploration-3395ae01c0b180318bc8d00df1cd57d0?pvs=21),Dataset Overview,Yes
Data Exploration (https://www.notion.so/Data-Exploration-3395ae01c0b180318bc8d00df1cd57d0?pvs=21),KPI Summary,Yes
Data Exploration (https://www.notion.so/Data-Exploration-3395ae01c0b180318bc8d00df1cd57d0?pvs=21),Time Analysis,No
Data Exploration (https://www.notion.so/Data-Exploration-3395ae01c0b180318bc8d00df1cd57d0?pvs=21),Industry & Stage Analysis,Yes
Data Exploration (https://www.notion.so/Data-Exploration-3395ae01c0b180318bc8d00df1cd57d0?pvs=21),Company Analysis,No
Data Exploration (https://www.notion.so/Data-Exploration-3395ae01c0b180318bc8d00df1cd57d0?pvs=21),Geographic Analysis,No
Data Exploration (https://www.notion.so/Data-Exploration-3395ae01c0b180318bc8d00df1cd57d0?pvs=21),Correlation Analysis,Yes
Data Analysis (https://www.notion.so/Data-Analysis-3395ae01c0b18021b964c863f0c6a1f4?pvs=21),January 2023 peak,No
Data Analysis (https://www.notion.so/Data-Analysis-3395ae01c0b18021b964c863f0c6a1f4?pvs=21),Funding paradox,No
Data Analysis (https://www.notion.so/Data-Analysis-3395ae01c0b18021b964c863f0c6a1f4?pvs=21),Riskiest stage,No
Data Analysis (https://www.notion.so/Data-Analysis-3395ae01c0b18021b964c863f0c6a1f4?pvs=21),Survival rate,No
Data Analysis (https://www.notion.so/Data-Analysis-3395ae01c0b18021b964c863f0c6a1f4?pvs=21),Recommendations,No
Data Visualization (https://www.notion.so/Data-Visualization-3395ae01c0b180298adafdd55280ebae?pvs=21),Create Dashboard,No
